time	V(x)
1,427792591078973e-004	6,517396e-001
1,447323841078973e-004	5,924923e-001
1,466855091078973e-004	5,243333e-001
1,486386341078973e-004	4,482879e-001
1,505917591078973e-004	3,654998e-001
1,525448841078973e-004	2,772142e-001
1,544980091078973e-004	1,847591e-001
1,564511341078973e-004	8,952504e-002
1,584042591078973e-004	-7,055557e-003
1,603573841078973e-004	-1,035300e-001
1,623105091078973e-004	-1,984473e-001
1,642636341078973e-004	-2,903798e-001
1,662167591078973e-004	-3,779446e-001
1,681698841078973e-004	-4,598249e-001
1,701230091078973e-004	-5,347890e-001
1,720761341078973e-004	-6,017092e-001
1,740292591078973e-004	-6,595793e-001
1,759823841078973e-004	-7,075287e-001
1,779355091078973e-004	-7,448361e-001
1,798886341078973e-004	-7,709405e-001
1,818417591078973e-004	-7,854493e-001
1,837948841078973e-004	-7,881442e-001
1,857480091078973e-004	-7,789847e-001
1,877011341078973e-004	-7,581085e-001
1,896542591078973e-004	-7,258297e-001
1,916073841078973e-004	-6,826336e-001
1,935605091078973e-004	-6,291702e-001
1,955136341078973e-004	-5,662435e-001
1,974667591078974e-004	-4,947999e-001
1,994198841078974e-004	-4,159141e-001
2,013730091078974e-004	-3,307725e-001
2,033261341078974e-004	-2,406558e-001
2,052792591078974e-004	-1,469194e-001
2,072323841078974e-004	-5,097325e-002
2,091855091078974e-004	4,573962e-002
2,111386341078974e-004	1,417645e-001
2,130917591078974e-004	2,356572e-001
2,150448841078974e-004	3,260053e-001
2,169980091078974e-004	4,114500e-001
2,189511341078974e-004	4,907061e-001
2,209042591078974e-004	5,625815e-001
2,228573841078974e-004	6,259953e-001
2,248105091078974e-004	6,799934e-001
2,267636341078974e-004	7,237638e-001
2,287167591078974e-004	7,566481e-001
2,306698841078974e-004	7,781518e-001
2,326230091078974e-004	7,879512e-001
2,345761341078974e-004	7,858992e-001
2,365292591078974e-004	7,720265e-001
2,384823841078974e-004	7,465419e-001
2,404355091078974e-004	7,098286e-001
2,423886341078974e-004	6,624387e-001
2,443417591078974e-004	6,050851e-001
2,462948841078974e-004	5,386306e-001
